route_id,route_short_name,route_long_name,route_type
314   01,314,Estacao Diamante/Estacao Barreiro Via Santa Helena (Principal),3
315   01,315,Estacao Barreiro / Barreiro (Principal),3
3150  01,3150,Regina-Lindeia / Bh Shopping Via Anel Rodoviario (Principal),3
318   02,318,Estacao Barreiro/Jardim Liberdade Via Milionarios (Noturno-Atend. Aos Bairros Liberdade E Bonsucesso),3
318   05,318,Estacao Barreiro/Jardim Liberdade Via Milionarios (Principal - Estacao Barreiro),3
318   06,318,Estacao Barreiro/Jardim Liberdade Via Milionarios (Partidas Da Rua Jeremias),3
318   08,318,Estacao Barreiro/Jardim Liberdade Via Milionarios (Atendimento A Regiao Do Liberdade),3
319   01,319,Vila Cemig/Conj.Esperanca (Principal),3
319   02,319,Vila Cemig/Conj.Esperanca (Via Pca. Jose Verano),3
319   03,319,Vila Cemig/Conj.Esperanca (Via Hospital Julia Kubitschek),3
319   04,319,Vila Cemig/Conj.Esperanca (Via Bonsucesso),3
32    01,32,Estacao Barreiro/Centro-Tamoios (Direta),3
32    02,32,Estacao Barreiro/Centro-Tamoios (Paradora),3
32    07,32,Estacao Barreiro/Centro-Tamoios (Santo Agostinho - Direta),3
321   01,321,Olhos D Agua / Pilar (Principal),3
321   02,321,Olhos D Agua / Pilar (Via Setor Industrial),3
325   01,325,Estacao Barreiro / Flavio Marques Lisboa (Principal),3
325   02,325,Estacao Barreiro / Flavio Marques Lisboa (Noturno),3
326   01,326,Estacao Barreiro / Vale Do Jatoba (Principal),3
327   01,327,Estacao Barreiro / Cardoso A (Principal),3
327   02,327,Estacao Barreiro / Cardoso A (Via Clube Da Copasa),3
327   03,327,Estacao Barreiro / Cardoso A (Noturno),3
328   01,328,Estacao Barreiro / Cardoso B (Principal),3
328   02,328,Estacao Barreiro / Cardoso B (Partidas-R. Lucas C.Santos),3
329   01,329,Estacao Barreiro / Jatoba (Principal),3
329   02,329,Estacao Barreiro / Jatoba (Via Teresa Cristina),3
33    01,33,Estacao Barreiro/Centro-Hospitais (Principal Paradora),3
33    05,33,Estacao Barreiro/Centro-Hospitais (Direta),3
33    06,33,Estacao Barreiro/Centro-Hospitais (Direta - Retorno Na R. Da Bahia),3
330   01,330,Estacao Barreiro / Independencia (Principal),3
330   02,330,Estacao Barreiro / Independencia (Noturno),3
330   03,330,Estacao Barreiro / Independencia (Via Bairro Mineirao),3
330   04,330,Estacao Barreiro / Independencia (R.F. Pitangueira/Independencia),3
330   05,330,Estacao Barreiro / Independencia (R. Flor Pitangueira/Mineirao),3
330   06,330,Estacao Barreiro / Independencia (Est. Bar/Independ.-Expresso),3
330   08,330,Estacao Barreiro / Independencia (R. F. Pitangueira/Ret. Expresso),3
3301A 01,3301A,Santa Terezinha (Principal),3
3301B 01,3301B,Castelo (Principal),3
3301B 02,3301B,Castelo (Via Bairro Santana),3
3302A 01,3302A,Nova Pampulha Via Itamarati (Principal),3
3302A 03,3302A,Nova Pampulha Via Itamarati (Via Hospitais),3
3302A 04,3302A,Nova Pampulha Via Itamarati (Retorno Na Newton Paiva),3
3302A 07,3302A,Nova Pampulha Via Itamarati (Partidas Da Rua Petropolis),3
3302B 01,3302B,Braunas Via Itamarati (Principal),3
3302B 02,3302B,Braunas Via Itamarati (Hospitais),3
3302D 01,3302D,Braunas (Principal),3
331   01,331,Estacao Barreiro/Conj.Antonio Teixeira Dias V.Upa (Principal),3
331   02,331,Estacao Barreiro/Conj.Antonio Teixeira Dias V.Upa (Noturno),3
331   03,331,Estacao Barreiro/Conj.Antonio Teixeira Dias V.Upa (Via Puc Barreiro),3
332   01,332,Estacao Barreiro / Milionarios - Bonsucesso (Principal),3
332   02,332,Estacao Barreiro / Milionarios - Bonsucesso (Partidas-R. Dr.Crist. Rezende),3
335   01,335,Estacao Barreiro / Lindeia (Principal),3
3350  01,3350,Est.Barreiro/Est.Diamante (Principal),3
336   01,336,Hospital Eduardo De Menezes / Vila Bernadete (Principal),3
336   02,336,Hospital Eduardo De Menezes / Vila Bernadete (Via Esc. M. B.Trindade-Manha),3
336   03,336,Hospital Eduardo De Menezes / Vila Bernadete (Via Esc. M. B.Trindade-Tarde),3
337   01,337,Estacao Barreiro / Itaipu (Principal),3
34    02,34,Estacao Barreiro/Via Expressa (Principal),3
340   01,340,Estacao Barreiro / Vila Mangueiras (Principal),3
341   01,341,Estacao Barreiro / Estacao Diamante Via Saude (Principal),3
342   01,342,Estacao Barreiro / Solar Via Estacao Diamante (Principal),3
342   02,342,Estacao Barreiro / Solar Via Estacao Diamante (Noturno Via Brasil Industrial),3
342   03,342,Estacao Barreiro / Solar Via Estacao Diamante (Partidas Da Rua Luiz Pongelupe),3
342   04,342,Estacao Barreiro / Solar Via Estacao Diamante (Atendimento Ao Bairro Solar),3
35    01,35,Estacao Barreiro/Centro (Principal),3
35    02,35,Estacao Barreiro/Centro (Paradora-Via Sinf. Brochado),3
3501A 01,3501A,Jardim Alvorada/Sao Marcos (Principal),3
3501A 05,3501A,Jardim Alvorada/Sao Marcos (Via Condominio Fazenda Da Serra),3
3501A 06,3501A,Jardim Alvorada/Sao Marcos (Retorno Expresso),3
3501A 10,3501A,Jardim Alvorada/Sao Marcos (Via Est. Jose Candido),3
3501A 11,3501A,Jardim Alvorada/Sao Marcos (Via Faz. Da Serra E Est.Jose Candido),3
3501A 12,3501A,Jardim Alvorada/Sao Marcos (Via Fernao Dias),3
3501B 01,3501B,Ouro Preto 3a Gleba/Bairro Ipe Via Jd. Montanhes (Principal),3
3502  01,3502,Ouro Preto/Sao Gabriel (Principal),3
3503A 01,3503A,Santa Terezinha/Sao Gabriel (Principal),3
3503A 02,3503A,Santa Terezinha/Sao Gabriel (Noturno),3
3503A 03,3503A,Santa Terezinha/Sao Gabriel (Partidas Do Ouro Minas),3
3503A 06,3503A,Santa Terezinha/Sao Gabriel (Via Praca Divina Pastora),3
401   01,401,Metro Cid.Industrial/S.Maria (Principal),3
401   03,401,Metro Cid.Industrial/S.Maria (Via Vila Dos Esportes),3
402   01,402,Metro Cid.Industrial/Camargos (Principal),3
402   03,402,Metro Cid.Industrial/Camargos (Via R. Silex - Manha),3
402   04,402,Metro Cid.Industrial/Camargos (Via R. Silex - Tarde),3
402   05,402,Metro Cid.Industrial/Camargos (Via Santa Maria),3
402   06,402,Metro Cid.Industrial/Camargos (Via Rua Silex-Sab E Dom),3
4031  01,4031,Santa Maria / Hospitais (Principal),3
4032  01,4032,Caicara /Savassi/ Pca. Da Liberdade (Principal),3
4032  02,4032,Caicara /Savassi/ Pca. Da Liberdade (Desvio Feira Da Av. Afonso Pena),3
4032  03,4032,Caicara /Savassi/ Pca. Da Liberdade (Retorno Na Praca Da Liberdade),3
4033  01,4033,Camargos/Centro (Principal),3
4033  03,4033,Camargos/Centro (Via Conj. Aldeias Da Serra),3
4034  01,4034,Novo Dom Bosco / Savassi Via Padre Eustaquio (Principal),3
4034  02,4034,Novo Dom Bosco / Savassi Via Padre Eustaquio (Desvio Feira Da Av. Afonso Pena),3
4034  07,4034,Novo Dom Bosco / Savassi Via Padre Eustaquio (Via Conj.Filadelfia-Retorno Expresso),3
4034  09,4034,Novo Dom Bosco / Savassi Via Padre Eustaquio (Atendimento Ao Conjunto Filadelfia),3
4034  10,4034,Novo Dom Bosco / Savassi Via Padre Eustaquio (Via Novo Dom Bosco E Conj.Filadelfia),3
4037  01,4037,Nossa Senhora Da Gloria / Centro (Principal),3
406   01,406,Est.Ponto Sao Jose/Pindorama V. N.Sra. Da Gloria (Principal),3
4102  01,4102,Aparecida/Serra (Principal),3
4102  03,4102,Aparecida/Serra (Aparecida/Centro),3
4102  04,4102,Aparecida/Serra (Aparecida/Centro Desvio Feira Av.Afonso Pena),3
4103  01,4103,Aparecida/Mangabeiras (Principal),3
4103  02,4103,Aparecida/Mangabeiras (Desvio Feira Da Av.Afonso Pena),3
4103  06,4103,Aparecida/Mangabeiras (Via Amr),3
4106  01,4106,Sao Cristovao/Santo Antonio (Principal),3
4106  02,4106,Sao Cristovao/Santo Antonio (Desvio Feira Da Av. Afonso Pena),3
4107  01,4107,Alto Caicara/Serra (Principal),3
4107  02,4107,Alto Caicara/Serra (Desvio Feira Da Av. Afonso Pena),3
4107  06,4107,Alto Caicara/Serra (Atendimento Aos Domingos E Feriados),3
4108  01,4108,Pedro II/Mangabeiras (Principal),3
4108  02,4108,Pedro II/Mangabeiras (Desvio Feira Da Av.Afonso Pena),3
4108  04,4108,Pedro II/Mangabeiras (Via Rua Vila Rica),3
4110  01,4110,Dom Cabral/Belvedere (Principal),3
4111  01,4111,Dom Cabral/Anchieta (Principal),3
4111  02,4111,Dom Cabral/Anchieta (Desvio Feira Da Av.Afonso Pena/Av.Bandeirantes),3
4111  03,4111,Dom Cabral/Anchieta (Atendimento A Escola Guinard),3
4111  04,4111,Dom Cabral/Anchieta (Retorno Na Praca Do Porto),3
4111  05,4111,Dom Cabral/Anchieta (Desvio Feira Da Av.Afonso Pena/Retorno Pca Porto),3
4113  01,4113,Bom Jesus/Belvedere (Principal),3
4113  03,4113,Bom Jesus/Belvedere (Atendimento A Fundacao Torino),3
4113  07,4113,Bom Jesus/Belvedere (Belvedere/Centro),3
4114  01,4114,Bonfim / Centro (Principal),3
4114  02,4114,Bonfim / Centro (Desvio Feira Da Av.Afonso Pena),3
4150  02,4150,Shopping Del Rey/Bh Shopping (Principal),3
4201  01,4201,Alto Caicara/Nova Cintra (Principal),3
4205  01,4205,Ermelinda/Salgado Filho (Principal),3
4403A 01,4403A,Zoologico Via Serrano (Principal),3
4403A 03,4403A,Zoologico Via Serrano (Noturno),3
4403A 05,4403A,Zoologico Via Serrano (Retorno Expresso),3
4403C 01,4403C,Residencial Sarandi (Principal),3
4403D 01,4403D,Urca-Confisco (Principal),3
4403D 03,4403D,Urca-Confisco (Via Residencial Sarandi),3
4405  01,4405,Coqueiros (Principal),3
4405  03,4405,Coqueiros (Rua Eneida/Retorno Augusto De Lima),3
4405  05,4405,Coqueiros (Atend. Hospitais E Rua Eneida),3
4405  06,4405,Coqueiros (Atendimento Noturno),3
4410  01,4410,Celso Machado Via Saramenha/Urca (Principal),3
4501  01,4501,California II / Sao Paulo (Principal),3
4501  02,4501,California II / Sao Paulo (Partida Intermed. Conj California I),3
4501  04,4501,California II / Sao Paulo (California II / Centro),3
4801A 01,4801A,Jardim Filadelfia/Boa Vista A (Principal),3
4801A 02,4801A,Jardim Filadelfia/Boa Vista A (Via R. Iraci-Novo Gloria),3
4802A 01,4802A,Pindorama/Boa Vista (Principal),3
4802A 03,4802A,Pindorama/Boa Vista (Atendimento Ao Jardim Filadelfia),3
4802A 05,4802A,Pindorama/Boa Vista (Inversao De Pc - Bairro Pindorama),3
50    01,50,Estacao Pampulha / Centro - Direta (Principal),3
503   01,503,Estacao Sao Gabriel / Aparecida / Santa Rosa (Principal),3
5031  01,5031,Suzana/Savassi-Via Universitario (Principal),3
5031  02,5031,Suzana/Savassi-Via Universitario (Desvio Feira Da Av.Afonso Pena),3
504   01,504,Estacao Sao Gabriel / Santa Rosa / Aparecida (Principal),3
506   01,506,Estacao Ponto Sao Jose / Av. Antonio Carlos  (Via Castelo),3
506   02,506,Estacao Ponto Sao Jose / Av. Antonio Carlos  (Via Ouro Preto),3
507   01,507,Ouro Preto / Shopping Del Rey (Principal),3
51    01,51,Estacao Pampulha / Centro / Hospitais (Principal),3
51    02,51,Estacao Pampulha / Centro / Hospitais (Noturno),3
51    03,51,Estacao Pampulha / Centro / Hospitais (Direta),3
510   01,510,Estacao Pampulha / Trevo Via Garcas (Principal),3
5101  01,5101,Suzana/Cruzeiro (Principal),3
5101  02,5101,Suzana/Cruzeiro (Desvio Feira Da Av.Afonso Pena),3
5102  01,5102,Ufmg/Santo Antonio (Principal),3
5102  03,5102,Ufmg/Santo Antonio (Nao Atendimento A Ufmg),3
5102  04,5102,Ufmg/Santo Antonio (Atendimento Ao Cnen - Centro / Ufmg),3
5102  06,5102,Ufmg/Santo Antonio (Retorno Na Pca Da Liberdade),3
5102  09,5102,Ufmg/Santo Antonio (Nao Atendimento Ao Centro Pedagogico),3
5106  01,5106,Bandeirantes / Bh Shopping (Principal),3
5106  02,5106,Bandeirantes / Bh Shopping (Noturno),3
