route_id,route_short_name,route_long_name,route_type
706   01,706,Estacao Sao Gabriel / Heliopolis (Principal),3
707   01,707,Estacao Sao Gabriel / Jardim Guanabara (Principal),3
708   01,708,Estacao Sao Gabriel / Felicidade (Principal),3
709   01,709,Estacao Sao Gabriel / Tupi (Principal),3
710   01,710,Estacao Sao Gabriel / Providencia (Principal),3
711   01,711,Estacao Sao Gabriel / Solimoes (Principal),3
712   01,712,Estacao Pampulha / Sao Bernardo (Principal),3
712   02,712,Estacao Pampulha / Sao Bernardo (Noturno),3
712   03,712,Estacao Pampulha / Sao Bernardo (Retorno Expresso - Manha),3
712   04,712,Estacao Pampulha / Sao Bernardo (Retorno Expresso - Tarde),3
713   01,713,Estacao Sao Gabriel / Lajedo (Principal),3
713   03,713,Estacao Sao Gabriel / Lajedo (Noturno),3
714   01,714,Estacao Sao Gabriel / Casas Populares (Principal),3
715   01,715,Estacao Sao Gabriel / Monte Azul (Principal),3
716   01,716,Estacao Sao Gabriel / Novo Aarao Reis (Principal),3
717   01,717,Estacao Pampulha / Campo Alegre (Principal),3
717   02,717,Estacao Pampulha / Campo Alegre (Via Julio Maria),3
717   03,717,Estacao Pampulha / Campo Alegre (Retorno Expresso),3
718   01,718,Estacao Pampulha / Planalto (Principal),3
719   01,719,Estacao Pampulha / Floramar (Principal),3
719   02,719,Estacao Pampulha / Floramar (Noturno),3
719   03,719,Estacao Pampulha / Floramar (Retorno Expresso),3
732   01,732,Estacao Sao Gabriel / Tupi-Felicidade (Principal),3
734   01,734,Estacao Sao Gabriel / Aarao Reis Via Minaslandia (Principal),3
735   01,735,Estacao Vilarinho/Juliana A (Principal),3
736   01,736,Estacao Vilarinho/Juliana B (Principal),3
737   01,737,Estacao Vilarinho/Jaqueline (Principal),3
737   03,737,Estacao Vilarinho/Jaqueline (Partidas-E.E. P. Comanducci),3
738   01,738,Estacao Vilarinho/Conj.Zilah Sposito (Principal),3
739   01,739,Est.Vilarinho/Jaqueline 2ªSecao Via Frei Leopoldo (Principal),3
739   03,739,Est.Vilarinho/Jaqueline 2ªSecao Via Frei Leopoldo (Noturno),3
8001A 01,8001A,Santa Ines/Bh Shopping (Principal),3
8001A 02,8001A,Santa Ines/Bh Shopping (Desvio Feira Av.Afonso Pena),3
8001A 04,8001A,Santa Ines/Bh Shopping (Retorno Av.Senhora Do Carmo),3
806   01,806,Estacao Sao Gabriel / Vista Do Sol Via Nazare (Principal),3
807   01,807,Estacao Sao Gabriel / Ribeiro De Abreu A (Principal),3
808   01,808,Estacao Sao Gabriel / Paulo Vi (Principal),3
808   07,808,Estacao Sao Gabriel / Paulo Vi (Via Parque Real),3
809   01,809,Estacao Sao Gabriel / Belmonte (Principal),3
810   01,810,Estacao Sao Gabriel/Parque Belmonte Via D.Silverio (Principal),3
8101  01,8101,Santa Cruz/Alto Santa Lucia (Principal),3
8101  03,8101,Santa Cruz/Alto Santa Lucia (Santa Cruz/Centro),3
8102  01,8102,Uniao/Carmo Sion (Principal),3
8102  02,8102,Uniao/Carmo Sion (Atendimento A Praca Miguel Chiquiloff),3
8102  04,8102,Uniao/Carmo Sion (Desvio Feira Av.Afonso Pena),3
8103  01,8103,Nova Floresta/Santa Lucia (Principal),3
8103  02,8103,Nova Floresta/Santa Lucia (Atendimento A Praca Do Sol),3
8103  03,8103,Nova Floresta/Santa Lucia (Noturno),3
8103  04,8103,Nova Floresta/Santa Lucia (Santa Lucia/Centro (Retorno Na R.Dos Tamoios)),3
8106  01,8106,Santa Cruz/Bh Shopping Via Belvedere (Principal),3
8106  02,8106,Santa Cruz/Bh Shopping Via Belvedere (Desvio Feira Av. Afonso Pena),3
8106  03,8106,Santa Cruz/Bh Shopping Via Belvedere (Retorno Expresso),3
8107  01,8107,Concordia/Sao Pedro (Principal),3
8107  02,8107,Concordia/Sao Pedro (Desvio Feira Av. Afonso Pena),3
8108  01,8108,Cidade Nova/Savassi (Principal),3
8108  02,8108,Cidade Nova/Savassi (Desvio Feira Av. Afonso Pena),3
811   01,811,Estacao Sao Gabriel / Vista Do Sol Via Puc (Principal),3
812   01,812,Estacao Sao Gabriel / Sao Gabriel A (Principal),3
813   01,813,Estacao Sao Gabriel/Paulo Vi Via Ribeiro De Abreu (Principal),3
813   02,813,Estacao Sao Gabriel/Paulo Vi Via Ribeiro De Abreu (Via Conj. Ribeiro De Abreu),3
814   01,814,Estacao Sao Gabriel / Jardim Vitoria (Principal),3
814   02,814,Estacao Sao Gabriel / Jardim Vitoria (Via Pousada Sto Antonio),3
814   03,814,Estacao Sao Gabriel / Jardim Vitoria (Noturno),3
815   01,815,Estacao Sao Gabriel / Conjunto Paulo Vi (Principal),3
815   02,815,Estacao Sao Gabriel / Conjunto Paulo Vi (Noturno Via Rua Sao Jacinto),3
815   04,815,Estacao Sao Gabriel / Conjunto Paulo Vi (Conj.Paulo Vi/Estacao),3
8150  01,8150,Uniao/Serra (Principal),3
8151  01,8151,Est. Sao Gabriel/Bh Shopping Via Anel Rodoviario (Principal),3
8151  02,8151,Est. Sao Gabriel/Bh Shopping Via Anel Rodoviario (Partidas Da Estacao Sao Gabriel),3
8151  03,8151,Est. Sao Gabriel/Bh Shopping Via Anel Rodoviario (Bh Shopping / Estacao Sao Gabriel),3
82    01,82,Estacao Sao Gabriel / Savassi Via Hospitais (Principal),3
8203  01,8203,Renascenca/Buritis (Principal),3
8203  03,8203,Renascenca/Buritis (Atendimento Av.Deputado Cristovam Chiaradia),3
8203  04,8203,Renascenca/Buritis (Noturno),3
8203  07,8203,Renascenca/Buritis (Via R. Borborema),3
8203  08,8203,Renascenca/Buritis (Atend.A Av.Dep.Crist.Chiaradia/Borborema/Buritis 2),3
8203  09,8203,Renascenca/Buritis (Atendimento Ao Buritis II),3
8205  01,8205,Maria Goretti/Nova Granada (Principal),3
8205  02,8205,Maria Goretti/Nova Granada (Via Alto Barroca),3
8205  03,8205,Maria Goretti/Nova Granada (Desvio Feira Da Silva Lobo),3
8205  04,8205,Maria Goretti/Nova Granada (Desvio Feira Silva Lobo Via Alto Barroca),3
8205  05,8205,Maria Goretti/Nova Granada (Via Bairro Sao Paulo),3
8205  06,8205,Maria Goretti/Nova Granada (Via Bairro Sao Paulo E Alto Barroca),3
8207  01,8207,Maria Goretti/Estrela Dalva (Principal),3
8207  03,8207,Maria Goretti/Estrela Dalva (Retorno Expresso),3
8207  04,8207,Maria Goretti/Estrela Dalva (Partidas Da Rua Barreiro Grande),3
8208  01,8208,Santa Cruz / Uni-Estoril (Principal),3
821   01,821,Estacao Jose Candido / Goiania (Principal),3
822   01,822,Estacao Jose Candido/Vila Maria (Principal),3
822   02,822,Estacao Jose Candido/Vila Maria (Via Av. Magenta),3
822   03,822,Estacao Jose Candido/Vila Maria (Partidas-R.Prof.Wladimir Gomes),3
823   01,823,Estacao Sao Gabriel / Bairro Vitoria (Principal),3
823   02,823,Estacao Sao Gabriel / Bairro Vitoria (Via Est. Jose Candido),3
825   01,825,Estacao Sao Gabriel/Vitoria II Via Upa-Nordeste (Principal),3
832   01,832,Estacao Sao Gabriel / Capitao Eduardo (Principal),3
832   02,832,Estacao Sao Gabriel / Capitao Eduardo (Rua Das Mangueiras - Manha),3
832   03,832,Estacao Sao Gabriel / Capitao Eduardo (Rua Das Mangueiras - Tarde),3
832   04,832,Estacao Sao Gabriel / Capitao Eduardo (Via Csesc - Manha),3
832   05,832,Estacao Sao Gabriel / Capitao Eduardo (Via Csesc - Tarde),3
8350  02,8350,Estacao Sao Gabriel/Estacao Barreiro (Principal),3
8350  07,8350,Estacao Sao Gabriel/Estacao Barreiro (Direta-Amazonas/Shop-Del Rey),3
836   01,836,Estacao Sao Gabriel / Ribeiro De Abreu B (Principal),3
837   01,837,Estacao Sao Gabriel / Conjunto Ribeiro De Abreu (Principal),3
83D   01,83D,Estacao Sao Gabriel / Centro - Direta (Principal),3
83P   01,83P,Estacao Sao Gabriel / Centro - Paradora (Principal),3
83P   02,83P,Estacao Sao Gabriel / Centro - Paradora (Hospitais),3
8401  01,8401,Cachoeirinha/Sao Jose (Principal),3
8401  04,8401,Cachoeirinha/Sao Jose (Sao Jose / Centro),3
8405  01,8405,Palmares/Bela Vista (Principal),3
85    01,85,Estacao Sao Gabriel / Centro Via Floresta (Principal),3
8501  01,8501,Maria Goretti/Engenho Nogueira Via Ouro Preto (Principal),3
8550  01,8550,Est. Sao Gabriel / Zoologico Via Est. Pampulha (Principal),3
901   01,901,Circular Leste (Principal),3
901   03,901,Circular Leste (Nao Atendimento-Pam S.Familia),3
901   04,901,Circular Leste (Retorno-Bairro Sagrada Familia),3
9030  01,9030,Castanheiras/Centro (Principal),3
9030  02,9030,Castanheiras/Centro (Partidas Da Rua Dos Caetes),3
9031  01,9031,Nossa Senhora De Fatima/Centro (Principal),3
9032  01,9032,Granja De Freitas (Principal),3
9032  05,9032,Granja De Freitas (Desvio Feira Afonso Pena),3
9101  01,9101,Alto Vera Cruz/Santa Lucia (Principal),3
9101  02,9101,Alto Vera Cruz/Santa Lucia (Alto Sta Lucia-Desvio Feira Af.Pena),3
9101  03,9101,Alto Vera Cruz/Santa Lucia (Alto Santa Lucia),3
9103  01,9103,Santa Tereza/Santo Antonio (Principal),3
9103  03,9103,Santa Tereza/Santo Antonio (Desvio Feira Av.Afonso Pena),3
9104  01,9104,Sagrada Familia/Luxemburgo (Principal),3
9104  02,9104,Sagrada Familia/Luxemburgo (Ponto Final Na Rua Guaicui),3
9104  04,9104,Sagrada Familia/Luxemburgo (Retorno Expresso(Portas Fechadas)),3
9105  01,9105,Nova Vista/Sion (Principal),3
9105  04,9105,Nova Vista/Sion (Nova Vista / Centro),3
9105  05,9105,Nova Vista/Sion (Desvio Feira Av.Afonso Pena),3
9106  01,9106,Sagrada Familia/Serra (Principal),3
9106  02,9106,Sagrada Familia/Serra (Desvio Feira Av.Afonso Pena),3
9201  05,9201,Baleia/Nova Granada (Principal),3
9201  06,9201,Baleia/Nova Granada (Unidade Antonio Mourao Guimaraes),3
9201  07,9201,Baleia/Nova Granada (Desvio Feira Da Av. Silva Lobo),3
9202  03,9202,Pompeia/Jardim America (Principal),3
9202  04,9202,Pompeia/Jardim America (Desvio Feira Av. Afonso Pena),3
9204  01,9204,Santa Efigenia/Estoril (Principal),3
9204  05,9204,Santa Efigenia/Estoril (Santa Efigenia / Centro),3
9204  06,9204,Santa Efigenia/Estoril (Santa Efigenia / Centro-Desvio Feira Da Av.Af.Pena),3
9205  01,9205,Nova Vista/Nova Cintra (Principal),3
9205  03,9205,Nova Vista/Nova Cintra (Atendimento Ao Bairro Patrocinio),3
9206  01,9206,Vera Cruz/Buritis (Principal),3
9208  01,9208,Taquaril/Conjunto Santa Maria (Principal),3
9208  02,9208,Taquaril/Conjunto Santa Maria (Nao Atendimento A R. Ercilia Siqueira),3
9208  03,9208,Taquaril/Conjunto Santa Maria (Taquaril/Centro),3
9208  04,9208,Taquaril/Conjunto Santa Maria (Atendimento A Rua Padre Feijo),3
9209  01,9209,Sagrada Familia/Gutierrez (Principal),3
9210  01,9210,Santa Teresa/Prado (Principal),3
9211  01,9211,Caetano Furquim/Havai (Principal),3
9214  02,9214,Caetano Furquim / Havai - Via Alto Havai (Principal),3
9214  03,9214,Caetano Furquim / Havai - Via Alto Havai (Havai Via Alto Havai / Centro),3
9250  02,9250,Caetano Furquim/Nova Cintra Via Savassi (Principal),3
9250  04,9250,Caetano Furquim/Nova Cintra Via Savassi (Retorno Hospitais),3
9402  01,9402,Santa Ines/Santo Andre (Principal),3
9403  01,9403,Paraiso/Caicara (Principal),3
9403  02,9403,Paraiso/Caicara (Desvio Feira Da Av.Afonso Pena),3
9403  03,9403,Paraiso/Caicara (Atendimento A Rua Aureliano Magalhaes),3
9404  01,9404,Sao Lucas/Nova Esperanca (Principal),3
9405  03,9405,Instituto Agronomico/Monsenhor Messias (Principal),3
9405  04,9405,Instituto Agronomico/Monsenhor Messias (Desvio Da Rua Francisco Bicalho),3
9407  01,9407,Alto Vera Cruz/Dom Bosco (Principal),3
9407  02,9407,Alto Vera Cruz/Dom Bosco (Desvio Feira Da Av.Afonso Pena),3
9407  03,9407,Alto Vera Cruz/Dom Bosco (Atendimento A R. Osmario Soares),3
9407  04,9407,Alto Vera Cruz/Dom Bosco (Desvio Feira Da Av.Afonso Pena/At. Osmario Soares),3
9408  01,9408,Santa Efigenia/Padre Eustaquio (Principal),3
9408  02,9408,Santa Efigenia/Padre Eustaquio (Desvio Feira Da Av.Afonso Pena),3
9410  01,9410,Sagrada Familia/Coracao Eucaristico (Principal),3
9411  01,9411,Casa Branca/Sao Jose (Principal),3
9411  03,9411,Casa Branca/Sao Jose (Partida E.E. Walt Disney),3
9412  11,9412,Conj.Taquaril/Padre Eustaquio (Principal),3
9412  12,9412,Conj.Taquaril/Padre Eustaquio (Desvio Feira Afonso Pena),3
9412  13,9412,Conj.Taquaril/Padre Eustaquio (Noturno),3
9412  14,9412,Conj.Taquaril/Padre Eustaquio (Noturno E Desvio Feira Afonso Pena),3
9414  01,9414,Santa Ines/Joao Pinheiro (Principal),3
9414  03,9414,Santa Ines/Joao Pinheiro (Atendimento Ao California),3
9414  04,9414,Santa Ines/Joao Pinheiro (Atendimento A Rua Quinze (Marilac)),3
9501  01,9501,Sao Lucas/Jaragua (Principal),3
9501  05,9501,Sao Lucas/Jaragua (Desvio Feira Da Av.Afonso Pena),3
9501  07,9501,Sao Lucas/Jaragua (Atendimento Ao Novo Sao Lucas),3
9502  01,9502,Sao Geraldo/Sao Francisco Via Esplanada (Principal),3
9502  02,9502,Sao Geraldo/Sao Francisco Via Esplanada (Atendimento A 4 Companhia),3
9502  03,9502,Sao Geraldo/Sao Francisco Via Esplanada (Atendimento A Ufmg),3
9502  04,9502,Sao Geraldo/Sao Francisco Via Esplanada (Zoologico Via Museu De Arte),3
9502  05,9502,Sao Geraldo/Sao Francisco Via Esplanada (Atendimento Direto Ufmg),3
9503  01,9503,Taquaril/Jaragua (Principal),3
9503  02,9503,Taquaril/Jaragua (Desvio Feira Da Av.Afonso Pena),3
9550  01,9550,Casa Branca/Sao Francisco Via Est. Jose Candido (Principal),3
9550  02,9550,Casa Branca/Sao Francisco Via Est. Jose Candido (Atendimento A Ufmg),3
9550  03,9550,Casa Branca/Sao Francisco Via Est. Jose Candido (Partida E.E. Walt Disney),3
9801  01,9801,Saudade/Santa Cruz (Principal),3
9801  02,9801,Saudade/Santa Cruz (Atendimento Ao Jonas Veiga),3
9803  01,9803,Taquaril/Palmares (Principal),3
9803  02,9803,Taquaril/Palmares (Desvio Feira Da Av. Afonso Pena),3
9805  02,9805,Santa Efigenia/Renascenca (Desvio Feira Da Av. Afonso Pena),3
9805  03,9805,Santa Efigenia/Renascenca (Principal),3
9850  01,9850,Estacao Jose Candido / Estacao Sao Gabriel (Principal),3
METRO 01,METRO,Venda Nova / Eldorado,0
METRO 02,METRO,Eldorado / Venda Nova,0
S10   01,S10,Bh Shopping / Sao Francisco (Principal),3
S20   01,S20,Palmeiras / Serra (Principal),3
S21   01,S21,Dom Cabral / Bh Shopping (Principal),3
S22   01,S22,Buritis / Metro Calafate (Principal),3
S22   02,S22,Buritis / Metro Calafate (Partidas Da Av.Raul Mourao Guimaraes),3
S22   03,S22,Buritis / Metro Calafate (Estacao Calafate Ate Av.Dom Joao Vi),3
S31   01,S31,Petropolis / Bairro Das Industrias (Principal),3
S32   01,S32,Itaipu / Cardoso (Principal),3
S33   01,S33,Lindeia / Milionarios (Principal),3
S33   02,S33,Lindeia / Milionarios (Partidas Da Rua Betula),3
S33   03,S33,Lindeia / Milionarios (Lindeia/Milionarios (Encerra No Bairro Milionarios),3
S41   01,S41,Conjunto California / Prado (Principal),3
S50   01,S50,Caicara / Nova Vista Via Ufmg (Principal),3
S50   02,S50,Caicara / Nova Vista Via Ufmg (Nao Atendimento A Ufmg),3
S51   01,S51,Circular Pampulha (Principal - Via Portugal),3
S51   03,S51,Circular Pampulha (Via Santa Terezinha),3
S53   01,S53,Confisco / Ouro Minas (Principal),3
S54   01,S54,Dom Bosco / Shopping Del Rey (Principal Via Castelo),3
S54   02,S54,Dom Bosco / Shopping Del Rey (Principal Via Padre Eustaquio),3
S55   01,S55,Santa Monica / Minas Shopping (Principal),3
S60   01,S60,Circular Venda Nova (Principal),3
S60   02,S60,Circular Venda Nova (Atendimento Ao Bairro Leticia),3
S61   01,S61,Landi / Estacao Vilarinho (Principal),3
S61   02,S61,Landi / Estacao Vilarinho (Landi/Estacao Vilarinho (Encerra Na Est.Vilarinho)),3
S63   01,S63,Circular Venda Nova (Principal),3
S64   01,S64,Circular Venda Nova (Principal),3
S65   01,S65,Sao Bernardo / Minas Caixa (Principal),3
S65   02,S65,Sao Bernardo / Minas Caixa (Via Salamanca),3
S66   01,S66,Tupi / Europa (Principal),3
S70   01,S70,Conj. Felicidade / Shopping Del Rey (Principal),3
S80   01,S80,Jardim Vitoria / Viaduto Cidade Industrial (Principal),3
S81   01,S81,Circular Nordeste (Principal),3
S82   01,S82,Circular Nordeste (Principal),3
S85   01,S85,Minas Shopping / Santa Ines (Principal),3
SC01A 01,SC01A,Contorno A (Principal),3
SC01B 01,SC01B,Contorno B (Principal),3
SC01R 01,SC01R,Contorno/Praca Milton Campos (Itinerario - Tarde),3
SC01R 02,SC01R,Contorno/Praca Milton Campos (Itinerario - Manha),3
SC02A 01,SC02A,Praca 7/Savassi Via Pca Da Liberdade - Santa Casa (Principal),3
SC02B 01,SC02B,Savassi/Praca 7 Via Santa Casa - Pca Da Liberdade (Principal),3
SC02B 02,SC02B,Savassi/Praca 7 Via Santa Casa - Pca Da Liberdade (Desvio Feira Da Av.Afonso Pena),3
SC03A 01,SC03A,Hospital Felicio Rocho/Hospital Militar A (Principal),3
SC03B 01,SC03B,Hospital Felicio Rocho/Hospital Militar B (Principal),3
SC04A 01,SC04A,Santa Casa/Savassi/Rodoviaria A (Principal),3
SC04B 01,SC04B,Santa Casa/Rodoviaria/Savassi B (Principal),3
SE02  01,SE02,Buritis/Savassi (Principal),3
